SlNo,Drug_Name,Reason,Description,Company_Name,NSE_Symbol,Rating,Industry
1,A CN Gel(Topical) 20gmA CN Soap 75gm,Acne,Mild to moderate acne (spots),Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
2,A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
3,ACGEL CL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
4,ACGEL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
5,Acleen 1% Lotion 25ml,Acne,treat the most severe form of acne (nodular acne)ÿ,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
6,Aclene 0.10% Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
7,Acnay Gel 10gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
8,Acne Aid Bar 50gmAcne Aid Bar 100gm,Acne,ÿtreat acne vulgarisÿ,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
9,Acne UV Gel 60gm,Acne,ÿtreat acne vulgarisÿ,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
10,Acne UV SPF 30 Gel 30gm,Acne,ÿtreat mild to moderate acne(spots),Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
11,Acnecure Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
12,Acnedap Gel 15gm,Acne,Mild to moderate acne (spots),Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
13,Acnedap Plus Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
14,Acnehit Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
15,Acnelak Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
16,Acnelak Clz Cream 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
17,Acnelak Z Lotion 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
18,Acnemoist Cream 60gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
19,Acnerex Soap 75gm,Acne,ÿtreat acne vulgarisÿ,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
20,Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,Acne,ÿtreat acne vulgarisÿ,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
21,Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,Acne,ÿtreat mild to moderate acne(spots),Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
22,Acnesol A Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
23,Acnesol CL Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
24,Acnestal Soap 75gm,Acne,"ÿgives smooth, soft, supple and fresh feeling to the skin",Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
25,Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
26,Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Acne,Mild to moderate acne (spots),Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
27,Acnetoin Plus Oinment 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
28,Acnetor AD 1% Ointment 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
29,Acnetor AD Cream 15Acnetor AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
30,Acnewar Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
31,Acnewar Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
32,Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,Acne,treat the most severe form of acne (nodular acne)ÿ,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
33,Acnezyl Gel(Topical) 10gm,Acne,ÿtreat acne vulgarisÿ,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
34,Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,Acne,ÿtreat acne vulgarisÿ,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
35,Acnil Soap 75gm,Acne,ÿtreat mild to moderate acne(spots),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
36,Acnin Cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
37,Acnin Pimple Care Face Pack 50gm,Acne,Mild to moderate acne (spots),Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
38,Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
39,Acnoff Anti Acne Bar 100gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
40,Acnorm Lotion 180ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
41,Acnovate Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
42,Acnovate Trio Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
43,Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne)ÿ,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
44,Aczit 10mg Softgel 10'S,Acne,ÿtreat acne vulgarisÿ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
45,Adabor Gel 15gm,Acne,ÿtreat acne vulgarisÿ,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
46,Adacin Gel 15gm,Acne,ÿtreat mild to moderate acne(spots),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
47,Adaclene Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
48,Adaferin Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
49,Adalene Nano Gel 15mg,Acne,"ÿgives smooth, soft, supple and fresh feeling to the skin",Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
50,Adapen Gel 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
51,Adaple Gel 15gmAdaple C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
52,Adapnil Gel 15gm,Acne,Mild to moderate acne (spots),Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
53,Adiff Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
54,Adistar Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
